id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1558,txn_p9pu5fl0q9aferpfv4002,acc_p9opotuud3tio7hht4000,11.26,2023-03-13,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1559,txn_p9pu5fl0q9aferpfv4003,acc_p9opotuud3tio7hht4000,9.59,2023-03-10,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1560,txn_p9pu5fl0q9aferpfv4004,acc_p9opotuud3tio7hht4000,4.47,2023-03-09,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1561,txn_p9pu5fl0q9aferpfv4005,acc_p9opotuud3tio7hht4000,5.08,2023-03-09,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1562,txn_p9pu5fl0q9aferpfv4006,acc_p9opotuud3tio7hht4000,9.14,2023-03-08,"Harris Teeter #0138 Cary Nc",general,"HARRIS TEETER",organization,,,
1563,txn_p9pu5fl0q9aferpfv4007,acc_p9opotuud3tio7hht4000,-100.0,2023-03-02,"Internet Payment Thank You",Unknown,Unknown,Unknown,,,
1564,txn_p9pu5fl0q9aferpfv4008,acc_p9opotuud3tio7hht4000,3.56,2023-03-01,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1565,txn_p9pu5fl0q9aferpfv4009,acc_p9opotuud3tio7hht4000,4.08,2023-03-01,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1566,txn_p9pu5fl0q9aferpfv400a,acc_p9opotuud3tio7hht4000,11.45,2023-02-28,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1567,txn_p9pu5fl0q9aferpfv400b,acc_p9opotuud3tio7hht4000,4.08,2023-02-28,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1568,txn_p9pu5fl0q9aferpfv400c,acc_p9opotuud3tio7hht4000,2.99,2023-02-27,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1569,txn_p9pu5fl0q9aferpfv400d,acc_p9opotuud3tio7hht4000,6.4,2023-02-27,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1570,txn_p9pu5fl0q9aferpfv400e,acc_p9opotuud3tio7hht4000,7.25,2023-02-27,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1571,txn_p9pu5fl0q9aferpfv400f,acc_p9opotuud3tio7hht4000,4.08,2023-02-27,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
